location,quality_score,safety_index,healthcare_index,climate_score,pollution_index,commute_time_minutes,work_life_balance,expat_friendly,english_proficiency,internet_speed_mbps,source
New York,75,55,78,60,55,45,55,85,100,200,OECD/EPA 2024
Los Angeles,72,52,75,75,48,55,58,82,100,180,OECD/EPA 2024
Chicago,70,48,74,50,52,42,60,80,100,175,OECD/EPA 2024
San Francisco,78,50,82,72,42,48,62,88,100,220,OECD/EPA 2024
Boston,76,58,85,55,45,42,58,82,100,190,OECD/EPA 2024
Seattle,77,55,80,62,38,40,65,85,100,210,OECD/EPA 2024
Washington D.C.,74,52,78,58,48,52,55,82,100,195,OECD/EPA 2024
Miami,68,48,72,78,52,48,52,78,95,175,OECD/EPA 2024
Houston,65,45,75,65,58,52,52,75,100,165,OECD/EPA 2024
Dallas,67,48,74,62,55,48,55,76,100,170,OECD/EPA 2024
London,78,62,82,48,58,55,52,92,100,150,OECD/DEFRA 2024
Manchester,72,58,78,42,52,38,62,78,100,120,OECD/DEFRA 2024
Edinburgh,75,68,80,45,42,32,68,76,100,110,OECD/DEFRA 2024
Frankfurt,82,72,88,55,48,35,72,82,85,180,OECD/UBA 2024
Berlin,80,65,85,52,45,42,75,88,82,160,OECD/UBA 2024
Munich,85,78,90,58,42,38,70,80,78,175,OECD/UBA 2024
Paris,76,58,88,58,62,48,55,78,65,190,OECD/INSEE 2024
Zurich,92,88,95,55,32,28,78,85,72,250,OECD/BFS 2024
Geneva,90,85,92,58,35,30,75,90,78,240,OECD/BFS 2024
Amsterdam,84,72,85,48,42,32,82,92,95,200,OECD/RIVM 2024
Singapore,85,92,88,72,48,38,58,95,92,260,OECD/DOS 2024
Hong Kong,72,85,82,65,58,42,45,88,88,250,OECD/HK Stats 2024
Tokyo,82,92,90,62,52,55,52,72,58,210,OECD/Stat Japan 2024
Osaka,78,88,88,65,48,48,58,68,52,195,OECD/Stat Japan 2024
Sydney,85,75,88,78,38,48,72,92,100,120,OECD/ABS 2024
Melbourne,84,72,86,72,35,45,75,90,100,115,OECD/ABS 2024
Toronto,80,68,85,48,42,52,68,92,100,175,OECD/StatCan 2024
Vancouver,82,72,84,58,38,42,72,90,100,185,OECD/StatCan 2024
Dublin,78,68,78,45,38,42,65,92,100,150,OECD/CSO 2024
Luxembourg,88,82,90,52,32,25,75,85,78,220,OECD/STATEC 2024
Madrid,76,72,82,75,52,42,68,72,55,180,OECD/INE 2024
Barcelona,74,65,80,78,55,45,65,75,52,175,OECD/INE 2024
Milan,72,62,82,62,65,45,58,68,55,165,OECD/ISTAT 2024
Brussels,75,58,85,48,55,42,68,85,72,160,OECD/Eurostat 2024
Vienna,88,82,92,55,38,32,78,82,75,180,OECD/Eurostat 2024
Stockholm,86,75,88,42,32,38,82,88,92,200,OECD/SCB 2024
Copenhagen,88,78,88,45,35,32,85,90,95,210,OECD/DST 2024
Oslo,87,82,90,38,28,35,85,85,95,195,OECD/SSB 2024
Helsinki,85,88,88,35,25,35,85,82,92,185,OECD/Eurostat 2024
