location,cost_index,rent_index,groceries_index,restaurant_index,purchasing_power_index,currency,source
New York,100,100,100,100,100,USD,BLS/Numbeo 2024
Los Angeles,85,92,88,90,105,USD,BLS 2024
Chicago,78,65,82,80,115,USD,BLS 2024
San Francisco,95,120,92,95,130,USD,BLS 2024
Boston,88,85,85,88,110,USD,BLS 2024
Seattle,84,88,85,85,125,USD,BLS 2024
Washington D.C.,83,80,82,85,108,USD,BLS 2024
Miami,82,78,80,82,95,USD,BLS 2024
Houston,72,58,75,72,120,USD,BLS 2024
Dallas,73,62,74,70,118,USD,BLS 2024
Atlanta,75,60,76,72,112,USD,BLS 2024
Denver,78,68,78,75,115,USD,BLS 2024
Austin,76,72,75,73,118,USD,BLS 2024
Philadelphia,79,65,80,78,105,USD,BLS 2024
London,92,95,68,85,75,GBP,ONS 2024
Manchester,68,52,62,65,82,GBP,ONS 2024
Birmingham,65,48,60,62,85,GBP,ONS 2024
Edinburgh,72,55,64,68,80,GBP,ONS 2024
Glasgow,65,45,58,60,82,GBP,ONS 2024
Bristol,70,58,62,65,78,GBP,ONS 2024
Leeds,62,45,58,58,85,GBP,ONS 2024
Frankfurt,82,75,68,72,95,EUR,Eurostat 2024
Berlin,72,62,62,65,92,EUR,Eurostat 2024
Munich,88,85,70,78,98,EUR,Eurostat 2024
Hamburg,75,68,65,68,95,EUR,Eurostat 2024
Düsseldorf,78,65,66,70,96,EUR,Eurostat 2024
Cologne,74,62,64,68,94,EUR,Eurostat 2024
Paris,95,98,78,88,72,EUR,Eurostat 2024
Lyon,72,55,68,72,85,EUR,Eurostat 2024
Marseille,68,48,65,68,80,EUR,Eurostat 2024
Zurich,125,120,115,120,130,CHF,BFS 2024
Geneva,122,118,112,118,128,CHF,BFS 2024
Basel,115,95,108,110,125,CHF,BFS 2024
Amsterdam,88,92,72,78,82,EUR,Eurostat 2024
Rotterdam,78,72,68,70,88,EUR,Eurostat 2024
The Hague,82,78,70,72,85,EUR,Eurostat 2024
Singapore,92,125,82,65,95,SGD,DOS 2024
Hong Kong,88,135,78,60,75,HKD,C&SD 2024
Tokyo,86,78,88,72,85,JPY,Stat Japan 2024
Osaka,75,62,82,68,90,JPY,Stat Japan 2024
Sydney,88,85,82,80,92,AUD,ABS 2024
Melbourne,82,72,78,75,95,AUD,ABS 2024
Brisbane,75,58,72,68,100,AUD,ABS 2024
Perth,78,55,74,70,105,AUD,ABS 2024
Toronto,82,85,78,72,85,CAD,StatCan 2024
Vancouver,88,95,80,78,82,CAD,StatCan 2024
Montreal,72,62,70,68,90,CAD,StatCan 2024
Calgary,75,58,72,65,110,CAD,StatCan 2024
Dublin,88,95,75,82,82,EUR,CSO 2024
Luxembourg,105,98,88,92,120,EUR,STATEC 2024
Madrid,68,58,62,68,75,EUR,INE 2024
Barcelona,72,65,65,72,72,EUR,INE 2024
Milan,82,85,70,78,78,EUR,ISTAT 2024
Rome,75,68,68,72,72,EUR,ISTAT 2024
Brussels,78,72,68,72,82,EUR,Eurostat 2024
Vienna,78,68,68,72,88,EUR,Eurostat 2024
Stockholm,85,78,72,82,88,SEK,SCB 2024
Copenhagen,92,85,78,88,95,DKK,DST 2024
Oslo,98,82,85,95,105,NOK,SSB 2024
Helsinki,82,72,72,78,92,EUR,Eurostat 2024
Dubai,75,82,65,72,115,AED,FCSC 2024
Abu Dhabi,72,75,62,68,120,AED,FCSC 2024
Mumbai,35,28,25,22,45,INR,MOSPI 2024
Bangalore,38,32,28,25,55,INR,MOSPI 2024
Delhi,32,25,24,22,42,INR,MOSPI 2024
Hyderabad,32,24,24,22,52,INR,MOSPI 2024
Shanghai,55,68,42,38,62,CNY,NBS 2024
Beijing,58,72,45,42,60,CNY,NBS 2024
Shenzhen,52,65,40,35,65,CNY,NBS 2024
Seoul,78,72,82,58,85,KRW,KOSTAT 2024
São Paulo,45,38,35,32,42,BRL,IBGE 2024
Rio de Janeiro,42,35,33,30,40,BRL,IBGE 2024
Mexico City,38,28,32,28,45,MXN,INEGI 2024
Johannesburg,42,28,35,32,55,ZAR,StatsSA 2024
Cape Town,45,32,38,35,52,ZAR,StatsSA 2024
Warsaw,52,42,38,40,72,PLN,GUS 2024
Krakow,48,35,36,38,75,PLN,GUS 2024
Prague,58,48,42,45,78,CZK,CZSO 2024
Lisbon,62,55,48,52,58,EUR,INE 2024
United States,82,72,80,80,110,USD,BLS 2024
United Kingdom,75,62,65,72,78,GBP,ONS 2024
Germany,78,68,66,70,95,EUR,Eurostat 2024
France,82,72,72,78,75,EUR,Eurostat 2024
Switzerland,120,105,110,115,128,CHF,BFS 2024
Netherlands,82,78,70,74,85,EUR,Eurostat 2024
Singapore,92,125,82,65,95,SGD,DOS 2024
Hong Kong,88,135,78,60,75,HKD,C&SD 2024
Japan,80,68,84,70,88,JPY,Stat Japan 2024
Australia,82,72,76,74,98,AUD,ABS 2024
Canada,78,72,74,70,92,CAD,StatCan 2024
Ireland,85,88,72,78,80,EUR,CSO 2024
Luxembourg,105,98,88,92,120,EUR,STATEC 2024
Spain,65,52,58,62,70,EUR,INE 2024
Italy,75,62,66,72,72,EUR,ISTAT 2024
Belgium,78,72,68,72,82,EUR,Eurostat 2024
Austria,78,68,68,72,88,EUR,Eurostat 2024
Sweden,82,72,70,78,88,SEK,SCB 2024
Denmark,88,78,75,85,95,DKK,DST 2024
Norway,95,78,82,92,105,NOK,SSB 2024
Finland,80,68,70,75,90,EUR,Eurostat 2024
United Arab Emirates,72,78,62,68,118,AED,FCSC 2024
India,32,25,25,22,48,INR,MOSPI 2024
China,52,58,40,35,62,CNY,NBS 2024
South Korea,75,68,78,55,82,KRW,KOSTAT 2024
Brazil,42,35,34,30,40,BRL,IBGE 2024
Mexico,35,25,30,26,42,MXN,INEGI 2024
South Africa,42,28,35,32,52,ZAR,StatsSA 2024
Poland,50,38,37,39,72,PLN,GUS 2024
Czech Republic,55,45,40,42,75,CZK,CZSO 2024
Portugal,60,52,46,50,58,EUR,INE 2024
